"","sex","program","cgpa","coding_exp","n","proportion","prop"
"1","Female","Actuarial Science Major","A (3.4 to 4.0)","Yes",2,0.00235294117647059,0.00277008310249307
"2","Female","Actuarial Science Major","B (2.4 to 3.3)","No",2,0.00235294117647059,0.015625
"3","Female","Actuarial Science Major","B (2.4 to 3.3)","Yes",10,0.0117647058823529,0.0138504155124654
"4","Female","Actuarial Science Major","C (1.4 to 2.3)","No",1,0.00117647058823529,0.0078125
"5","Female","Actuarial Science Major","C (1.4 to 2.3)","Yes",7,0.00823529411764706,0.00969529085872576
"6","Female","Actuarial Science Major","D (0.7 to 1.3)","No",3,0.00352941176470588,0.0234375
"7","Female","Actuarial Science Major","D (0.7 to 1.3)","Yes",10,0.0117647058823529,0.0138504155124654
"8","Female","Actuarial Science Specialist","A (3.4 to 4.0)","Yes",1,0.00117647058823529,0.00138504155124654
"9","Female","Actuarial Science Specialist","B (2.4 to 3.3)","No",1,0.00117647058823529,0.0078125
"10","Female","Actuarial Science Specialist","B (2.4 to 3.3)","Yes",4,0.00470588235294118,0.00554016620498615
"11","Female","Actuarial Science Specialist","C (1.4 to 2.3)","Yes",3,0.00352941176470588,0.00415512465373961
"12","Female","Actuarial Science Specialist","D (0.7 to 1.3)","No",2,0.00235294117647059,0.015625
"13","Female","Actuarial Science Specialist","D (0.7 to 1.3)","Yes",2,0.00235294117647059,0.00277008310249307
"14","Female","Applied Statistics Specialist","A (3.4 to 4.0)","Yes",1,0.00117647058823529,0.00138504155124654
"15","Female","Applied Statistics Specialist","B (2.4 to 3.3)","Yes",3,0.00352941176470588,0.00415512465373961
"16","Female","Applied Statistics Specialist","C (1.4 to 2.3)","Yes",2,0.00235294117647059,0.00277008310249307
"17","Female","Applied Statistics Specialist","D (0.7 to 1.3)","No",1,0.00117647058823529,0.0078125
"18","Female","Applied Statistics Specialist","D (0.7 to 1.3)","Yes",1,0.00117647058823529,0.00138504155124654
"19","Female","Data Science Specialist","A (3.4 to 4.0)","Yes",2,0.00235294117647059,0.00277008310249307
"20","Female","Data Science Specialist","B (2.4 to 3.3)","No",2,0.00235294117647059,0.015625
"21","Female","Data Science Specialist","B (2.4 to 3.3)","Yes",4,0.00470588235294118,0.00554016620498615
"22","Female","Data Science Specialist","C (1.4 to 2.3)","No",2,0.00235294117647059,0.015625
"23","Female","Data Science Specialist","C (1.4 to 2.3)","Yes",7,0.00823529411764706,0.00969529085872576
"24","Female","Data Science Specialist","D (0.7 to 1.3)","No",2,0.00235294117647059,0.015625
