"","sex","program","cgpa","coding_exp","n","proportion","prop"
"1","Female","Actuarial Science Major","A (3.4 to 4.0)","Yes",2,0.00235294117647059,0.027027027027027
"2","Female","Actuarial Science Major","B (2.4 to 3.3)","No",2,0.00235294117647059,0.027027027027027
"3","Female","Actuarial Science Major","B (2.4 to 3.3)","Yes",10,0.0117647058823529,0.135135135135135
"4","Female","Actuarial Science Major","C (1.4 to 2.3)","No",1,0.00117647058823529,0.0135135135135135
"5","Female","Actuarial Science Major","C (1.4 to 2.3)","Yes",7,0.00823529411764706,0.0945945945945946
"6","Female","Actuarial Science Major","D (0.7 to 1.3)","No",3,0.00352941176470588,0.0405405405405405
"7","Female","Actuarial Science Major","D (0.7 to 1.3)","Yes",10,0.0117647058823529,0.135135135135135
"8","Female","Actuarial Science Specialist","A (3.4 to 4.0)","Yes",1,0.00117647058823529,0.0333333333333333
"9","Female","Actuarial Science Specialist","B (2.4 to 3.3)","No",1,0.00117647058823529,0.0333333333333333
"10","Female","Actuarial Science Specialist","B (2.4 to 3.3)","Yes",4,0.00470588235294118,0.133333333333333
"11","Female","Actuarial Science Specialist","C (1.4 to 2.3)","Yes",3,0.00352941176470588,0.1
"12","Female","Actuarial Science Specialist","D (0.7 to 1.3)","No",2,0.00235294117647059,0.0666666666666667
"13","Female","Actuarial Science Specialist","D (0.7 to 1.3)","Yes",2,0.00235294117647059,0.0666666666666667
"14","Female","Applied Statistics Specialist","A (3.4 to 4.0)","Yes",1,0.00117647058823529,0.05
"15","Female","Applied Statistics Specialist","B (2.4 to 3.3)","Yes",3,0.00352941176470588,0.15
"16","Female","Applied Statistics Specialist","C (1.4 to 2.3)","Yes",2,0.00235294117647059,0.1
"17","Female","Applied Statistics Specialist","D (0.7 to 1.3)","No",1,0.00117647058823529,0.05
"18","Female","Applied Statistics Specialist","D (0.7 to 1.3)","Yes",1,0.00117647058823529,0.05
"19","Female","Data Science Specialist","A (3.4 to 4.0)","Yes",2,0.00235294117647059,0.0444444444444444
"20","Female","Data Science Specialist","B (2.4 to 3.3)","No",2,0.00235294117647059,0.0444444444444444
"21","Female","Data Science Specialist","B (2.4 to 3.3)","Yes",4,0.00470588235294118,0.0888888888888889
"22","Female","Data Science Specialist","C (1.4 to 2.3)","No",2,0.00235294117647059,0.0444444444444444
"23","Female","Data Science Specialist","C (1.4 to 2.3)","Yes",7,0.00823529411764706,0.155555555555556
"24","Female","Data Science Specialist","D (0.7 to 1.3)","No",2,0.00235294117647059,0.0444444444444444
"25","Female","Data Science Specialist","D (0.7 to 1.3)","Yes",7,0.00823529411764706,0.155555555555556
"26","Female","Data Science Specialist","F (0.0 to 0.6)","Yes",1,0.00117647058823529,0.0222222222222222
"27","Female","Statistics Major","A (3.4 to 4.0)","No",5,0.00588235294117647,0.0119047619047619
"28","Female","Statistics Major","A (3.4 to 4.0)","Yes",22,0.0258823529411765,0.0523809523809524
"29","Female","Statistics Major","B (2.4 to 3.3)","No",8,0.00941176470588235,0.019047619047619
"30","Female","Statistics Major","B (2.4 to 3.3)","Yes",50,0.0588235294117647,0.119047619047619
"31","Female","Statistics Major","C (1.4 to 2.3)","No",17,0.02,0.0404761904761905
