"","sex","program","cgpa","coding_exp","n","proportion","prop"
"1","Female","Actuarial Science Major","A (3.4 to 4.0)","Yes",2,0.00235294117647059,0.00491400491400491
"2","Female","Actuarial Science Major","B (2.4 to 3.3)","No",2,0.00235294117647059,0.00491400491400491
"3","Female","Actuarial Science Major","B (2.4 to 3.3)","Yes",10,0.0117647058823529,0.0245700245700246
"4","Female","Actuarial Science Major","C (1.4 to 2.3)","No",1,0.00117647058823529,0.00245700245700246
"5","Female","Actuarial Science Major","C (1.4 to 2.3)","Yes",7,0.00823529411764706,0.0171990171990172
"6","Female","Actuarial Science Major","D (0.7 to 1.3)","No",3,0.00352941176470588,0.00737100737100737
"7","Female","Actuarial Science Major","D (0.7 to 1.3)","Yes",10,0.0117647058823529,0.0245700245700246
"8","Female","Actuarial Science Specialist","A (3.4 to 4.0)","Yes",1,0.00117647058823529,0.00245700245700246
"9","Female","Actuarial Science Specialist","B (2.4 to 3.3)","No",1,0.00117647058823529,0.00245700245700246
"10","Female","Actuarial Science Specialist","B (2.4 to 3.3)","Yes",4,0.00470588235294118,0.00982800982800983
"11","Female","Actuarial Science Specialist","C (1.4 to 2.3)","Yes",3,0.00352941176470588,0.00737100737100737
"12","Female","Actuarial Science Specialist","D (0.7 to 1.3)","No",2,0.00235294117647059,0.00491400491400491
"13","Female","Actuarial Science Specialist","D (0.7 to 1.3)","Yes",2,0.00235294117647059,0.00491400491400491
"14","Female","Applied Statistics Specialist","A (3.4 to 4.0)","Yes",1,0.00117647058823529,0.00245700245700246
"15","Female","Applied Statistics Specialist","B (2.4 to 3.3)","Yes",3,0.00352941176470588,0.00737100737100737
"16","Female","Applied Statistics Specialist","C (1.4 to 2.3)","Yes",2,0.00235294117647059,0.00491400491400491
"17","Female","Applied Statistics Specialist","D (0.7 to 1.3)","No",1,0.00117647058823529,0.00245700245700246
"18","Female","Applied Statistics Specialist","D (0.7 to 1.3)","Yes",1,0.00117647058823529,0.00245700245700246
"19","Female","Data Science Specialist","A (3.4 to 4.0)","Yes",2,0.00235294117647059,0.00491400491400491
"20","Female","Data Science Specialist","B (2.4 to 3.3)","No",2,0.00235294117647059,0.00491400491400491
"21","Female","Data Science Specialist","B (2.4 to 3.3)","Yes",4,0.00470588235294118,0.00982800982800983
"22","Female","Data Science Specialist","C (1.4 to 2.3)","No",2,0.00235294117647059,0.00491400491400491
"23","Female","Data Science Specialist","C (1.4 to 2.3)","Yes",7,0.00823529411764706,0.0171990171990172
"24","Female","Data Science Specialist","D (0.7 to 1.3)","No",2,0.00235294117647059,0.00491400491400491
"25","Female","Data Science Specialist","D (0.7 to 1.3)","Yes",7,0.00823529411764706,0.0171990171990172
"26","Female","Data Science Specialist","F (0.0 to 0.6)","Yes",1,0.00117647058823529,0.00245700245700246
"27","Female","Statistics Major","A (3.4 to 4.0)","No",5,0.00588235294117647,0.0122850122850123
"28","Female","Statistics Major","A (3.4 to 4.0)","Yes",22,0.0258823529411765,0.0540540540540541
"29","Female","Statistics Major","B (2.4 to 3.3)","No",8,0.00941176470588235,0.0196560196560197
"30","Female","Statistics Major","B (2.4 to 3.3)","Yes",50,0.0588235294117647,0.122850122850123
"31","Female","Statistics Major","C (1.4 to 2.3)","No",17,0.02,0.0417690417690418
"32","Female","Statistics Major","C (1.4 to 2.3)","Yes",62,0.0729411764705882,0.152334152334152
"33","Female","Statistics Major","D (0.7 to 1.3)","No",8,0.00941176470588235,0.0196560196560197
"34","Female","Statistics Major","D (0.7 to 1.3)","Yes",35,0.0411764705882353,0.085995085995086
"35","Female","Statistics Methods and Practice Specialist","B (2.4 to 3.3)","No",1,0.00117647058823529,0.00245700245700246
